OP_CARRIER,DEP_DELAY,ARR_DELAY,COUNT
DL,12.101816805450417,4.483724451173353,5284
EV,10.80184331797235,5.432718894009216,2170
F9,13.526402640264026,12.229372937293729,606
FL,23.743756243756245,21.205794205794206,2002
HA,0.30845771144278605,2.9635157545605306,603
MQ,15.45399879735418,14.75826819001804,3326
OH,28.425855513307983,28.643536121673005,1052
OO,12.79140438463208,11.041241588886477,4607
UA,12.676501955207963,2.5111980092428015,2813
US,11.395833333333334,9.499038461538461,3120
WN,16.46673949987861,9.151493080844865,8238
XE,18.896735003796508,18.532649962034927,2634
YV,15.571428571428571,13.143378519290929,1918
9E,9.339411520928305,9.796518856195608,2413
AA,13.04136815345505,7.03073723133811,4327
AS,2.3767395626242545,-4.108349900596422,1006
B6,46.41098169717138,48.840820854132005,1803
CO,19.09821858449687,15.24602792489167,2077
