OP_CARRIER,DEP_DELAY,ARR_DELAY,COUNT,PROCESSED_TIMESTAMP
DL,12.101816805450415,4.483724451173353,5284,2025-04-07 12:11:55
EV,10.80184331797235,5.432718894009216,2170,2025-04-07 12:11:55
F9,13.526402640264026,12.229372937293729,606,2025-04-07 12:11:55
FL,23.743756243756245,21.20579420579421,2002,2025-04-07 12:11:55
HA,0.308457711442786,2.96351575456053,603,2025-04-07 12:11:55
MQ,15.45399879735418,14.75826819001804,3326,2025-04-07 12:11:55
OH,28.425855513307983,28.643536121673005,1052,2025-04-07 12:11:55
OO,12.79140438463208,11.041241588886477,4607,2025-04-07 12:11:55
UA,12.676501955207964,2.5111980092428015,2813,2025-04-07 12:11:55
US,11.395833333333334,9.49903846153846,3120,2025-04-07 12:11:55
WN,16.46673949987861,9.151493080844864,8238,2025-04-07 12:11:55
XE,18.896735003796508,18.532649962034927,2634,2025-04-07 12:11:55
YV,15.571428571428571,13.143378519290929,1918,2025-04-07 12:11:55
9E,9.339411520928303,9.796518856195608,2413,2025-04-07 12:11:55
AA,13.04136815345505,7.03073723133811,4327,2025-04-07 12:11:55
AS,2.3767395626242545,-4.108349900596422,1006,2025-04-07 12:11:55
B6,46.41098169717138,48.840820854132005,1803,2025-04-07 12:11:55
CO,19.09821858449687,15.24602792489167,2077,2025-04-07 12:11:55
